OBJECTID,CODI_ENS,NOM_ENS,CODI_TIPUSSOL,TIPUSSOL,SUPERFICIE,EXTRACCIO
30,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,185782.87496981,2022/11/07 23:47:56+00
31,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,35730.48526322,2022/11/07 23:47:56+00
32,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,3512.45849609,2022/11/07 23:47:56+00
1,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,218070.13156786,2022/11/07 23:47:53+00
2,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,345.21044922,2022/11/07 23:47:56+00
3,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,32379.49694824,2022/11/07 23:47:56+00
4,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,681.29968262,2022/11/07 23:47:56+00
5,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,4.29e-06,2022/11/07 23:47:56+00
6,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,949.15478516,2022/11/07 23:47:56+00
7,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,5202779.20337788,2022/11/07 23:47:56+00
8,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,341666.89947237,2022/11/07 23:47:56+00
9,08200,SANT BOI DE LLOBREGAT,2,Urbanitzable delimitat,5836.08886719,2022/11/07 23:47:56+00
10,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.01511638,2022/11/07 23:47:56+00
11,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00568571,2022/11/07 23:47:56+00
12,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.1860381,2022/11/07 23:47:56+00
13,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00876192,2022/11/07 23:47:56+00
14,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,2558093.81309703,2022/11/07 23:47:56+00
15,08200,SANT BOI DE LLOBREGAT,,,0.10680446,2022/11/07 23:47:56+00
16,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.48713284,2022/11/07 23:47:56+00
17,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0059721,2022/11/07 23:47:56+00
18,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00182327,2022/11/07 23:47:56+00
19,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0101255,2022/11/07 23:47:56+00
20,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.02177437,2022/11/07 23:47:56+00
21,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.22576815,2022/11/07 23:47:56+00
22,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,38489.12276184,2022/11/07 23:47:56+00
